customer_id,full_nm,age,location
btn-861-ed58,kow Dextik,61,"Madrid, Spain"
yzp-718-pw06,bgj Eljuxy,77,"LA, USA"
wqv-903-zw50,pak Banpgew,64,"Madrid, Spain"
isq-247-gc06,gxv Banioql,30,"LA, USA"
rsi-920-ut52,ykt Dehbwy,84,"Madrid, Spain"
hnr-801-ix34,vso Elubgs,53,"Milan, Italy"
olz-043-dg50,fgn Mcpfcd,54,"Madrid, Spain"
qui-039-ie57,plf Ashpesi,34,"LA, USA"
tbu-916-bj68,byf Nintcye,39,"Paris, France"
qwz-561-rv13,yaq Mcyixc,70,"San Jose, USA"
xnz-179-bn54,urp Mcxlti,77,"LA, USA"
yjx-394-gm42,mfh Ashanfi,30,"Madrid, Spain"
vbj-614-cm47,gio Fitzulkj,15,"Madrid, Spain"
mjc-539-no13,fec Eldbgt,35,"San Jose, USA"
eyp-057-my43,acl Ninyzgn,77,"Paris, France"
mst-073-ys14,jzt Banlthx,57,"Paris, France"
vla-407-aw84,jnm Detwnb,82,"Milan, Italy"
gjn-674-ub70,nev Fitzecml,43,"San Jose, USA"
jue-437-jy06,vbc Bantqhk,53,"LA, USA"
rfe-627-pe51,qdv Dedykj,56,"Paris, France"
psb-612-bg70,xym Mcfjhg,85,"San Jose, USA"
wju-253-sk17,umn Bandfcl,42,"LA, USA"
duh-405-go49,kgz Banubcy,50,"San Jose, USA"
lms-380-ve29,prl Elfzxc,49,"San Jose, USA"
jrx-238-se06,qov Banubkn,65,"Milan, Italy"
gta-276-pw49,mnz Ashdopc,77,"Paris, France"
pgf-904-ap57,wgh Ashvecm,74,"Madrid, Spain"
kdz-807-jm28,mjh Ninruvf,71,"Paris, France"
lkr-756-ew49,axg Ninwuoj,84,"Paris, France"
rns-095-rd86,qbu Elsero,90,"LA, USA"
hzr-907-ik04,jgn Ashglwd,52,"Milan, Italy"
ayp-463-gs65,ifc Banpqtz,80,"Paris, France"
tbc-492-nt58,qda Banljgb,46,"LA, USA"
gms-349-bl35,ulc Banelfb,86,"San Jose, USA"
sqx-941-ft63,fbi Elrldp,25,"LA, USA"
sza-048-tv58,sjx Bandrbv,81,"Paris, France"
nyf-601-jl03,igw Banjzki,32,"LA, USA"
rhs-409-fd92,chb Bancptu,65,"LA, USA"
iyf-153-mr72,tqh Ninbhrn,30,"Madrid, Spain"
hft-457-lg81,vxl Ashpcfq,53,"San Jose, USA"
ord-821-vm26,mbo Mcvwka,85,"Madrid, Spain"
fep-938-zn45,btx Mcfzva,72,"Milan, Italy"
amd-607-dt03,ypw Fitzaswz,46,"Paris, France"
glh-572-pw38,mfk Nindwto,59,"Madrid, Spain"
sut-692-cn86,uls Bangnid,18,"Paris, France"
dxb-465-ba63,tce Ninxnsy,76,"Paris, France"
xeq-180-cu85,clb Degcet,51,"San Jose, USA"
rvk-392-ji82,bnr Ashmdjc,86,"LA, USA"
ezg-364-sa10,jxu Fitziwjo,61,"Paris, France"
dzr-690-ny86,mki Ninfgdo,60,"Paris, France"
huq-107-bn63,ler Mcmdbs,57,"Milan, Italy"
zyn-261-ie45,nbg Bandmve,71,"Madrid, Spain"
hky-574-he63,pxu Fitzriaq,42,"LA, USA"
pas-965-ia90,ipz Dejyzf,85,"Paris, France"
mdl-958-qw48,rwd Fitzphrw,61,"Paris, France"
pzq-278-ve84,lua Fitzhoij,21,"LA, USA"
qdc-826-gw82,unl Ninwpob,33,"San Jose, USA"
drc-619-to60,rac Ashtvje,62,"Madrid, Spain"
mav-328-wt30,yrc Banmlxt,61,"LA, USA"
zyp-634-zw70,hvs Mcmzkj,75,"Milan, Italy"
uyh-873-ca69,owq Fitzpiqs,45,"Milan, Italy"
njh-269-xr80,ewz Ninscxh,48,"Paris, France"
tme-104-js91,vuj Banyaub,88,"LA, USA"
dkx-736-je45,tqa Mckrfs,73,"Paris, France"
jue-760-gb18,rtf Ashekjw,65,"Milan, Italy"
kls-418-la81,oeb Banjrnk,36,"Milan, Italy"
nhv-632-sr85,glx Defklm,59,"LA, USA"
rec-106-hz20,zmd Mctqpv,58,"Milan, Italy"
zxb-497-qe30,vwm Elgyrq,73,"Madrid, Spain"
dvy-789-mn93,hzc Dercyu,73,"Paris, France"
iqa-604-ex39,gvl Mcjmqr,53,"Milan, Italy"
lhc-528-nc34,qcn Ashrajc,63,"Madrid, Spain"
vjm-093-xh43,fze Elygwq,90,"Milan, Italy"
efu-634-xu70,thu Banzlct,81,"San Jose, USA"
tgb-136-bj89,wuk Depqoh,40,"Paris, France"
